Datasets,Rank-1,Rank-5,Rank-10,mAP,mINP,New_Rank-1,New_Rank-5,New_Rank-10,New_mAP,New_mINP,diff_0,diff_1_backpack,diff_2_bag,diff_3_clothes,diff_4_down,diff_5_downblack,diff_6_downblue,diff_7_downbrown,diff_8_downgray,diff_9_downgreen,diff_10_downpink,diff_11_downpurple,diff_12_downwhite,diff_13_downyellow,diff_14_gender,diff_15_hair,diff_16_handbag,diff_17_hat,diff_18_up,diff_19_upblack,diff_20_upblue,diff_21_upgray,diff_22_upgreen,diff_23_uppurple,diff_24_upred,diff_25_upwhite,diff_26_upyellow,Ex_Precsion_d,same_0,same_1_backpack,same_2_bag,same_3_clothes,same_4_down,same_5_downblack,same_6_downblue,same_7_downbrown,same_8_downgray,same_9_downgreen,same_10_downpink,same_11_downpurple,same_12_downwhite,same_13_downyellow,same_14_gender,same_15_hair,same_16_handbag,same_17_hat,same_18_up,same_19_upblack,same_20_upblue,same_21_upgray,same_22_upgreen,same_23_uppurple,same_24_upred,same_25_upwhite,same_26_upyellow,Ex_Precsion_s,Ex_mAP_d,Ex_mAP_s
Market1501_Interpretation,0.9474466,0.9812945,0.9872328,0.8580248678628576,0.564835728818167,0.95219713,0.9824822,0.9902019,0.8630705379634185,0.5770656448468274,0.0,0.7047363519668579,0.5732149481773376,0.5280963182449341,0.8105964660644531,0.8364355564117432,0.6233683228492737,0.6014305949211121,0.6761161684989929,0.3444282114505768,0.9197182059288025,nan,0.4295491576194763,0.10043088346719742,0.8127904534339905,0.7361063361167908,0.31083211302757263,0.7276358008384705,0.12862960994243622,0.5956262350082397,0.49306732416152954,0.5052006840705872,0.7939413785934448,0.9186180233955383,0.9074415564537048,0.9192854762077332,0.8688475489616394,0.6566253900527954,0.0,0.8268007636070251,0.7581475973129272,0.8616990447044373,0.71741783618927,0.7141273617744446,0.8771188259124756,0.9654250741004944,0.8086186647415161,0.9914143681526184,0.9547792673110962,0.9982075691223145,0.9650719165802002,0.9914653897285461,0.6844831109046936,0.8102514743804932,0.8901573419570923,0.9711570143699646,0.9756487011909485,0.9685613512992859,0.9813183546066284,0.9316471815109253,0.954761803150177,0.9567736983299255,0.9301373958587646,0.7515945434570312,0.9662744998931885,0.9081057906150818,tensor(0.7414),tensor(0.9634)


Datasets,Rank-1,Rank-5,Rank-10,mAP,mINP,New_Rank-1,New_Rank-5,New_Rank-10,New_mAP,New_mINP,diff_0,diff_1_backpack,diff_2_bag,diff_3_clothes,diff_4_down,diff_5_downblack,diff_6_downblue,diff_7_downbrown,diff_8_downgray,diff_9_downgreen,diff_10_downpink,diff_11_downpurple,diff_12_downwhite,diff_13_downyellow,diff_14_gender,diff_15_hair,diff_16_handbag,diff_17_hat,diff_18_up,diff_19_upblack,diff_20_upblue,diff_21_upgray,diff_22_upgreen,diff_23_uppurple,diff_24_upred,diff_25_upwhite,diff_26_upyellow,Ex_Precsion_d,same_0,same_1_backpack,same_2_bag,same_3_clothes,same_4_down,same_5_downblack,same_6_downblue,same_7_downbrown,same_8_downgray,same_9_downgreen,same_10_downpink,same_11_downpurple,same_12_downwhite,same_13_downyellow,same_14_gender,same_15_hair,same_16_handbag,same_17_hat,same_18_up,same_19_upblack,same_20_upblue,same_21_upgray,same_22_upgreen,same_23_uppurple,same_24_upred,same_25_upwhite,same_26_upyellow,Ex_Precsion_s,Ex_mAP_d,Ex_mAP_s
Market1501_Interpretation,0.94714963,0.9812945,0.9872328,0.8580131079351228,0.5648946859462719,0.9462589,0.97951305,0.98812354,0.8642868907002598,0.5792171502093778,0.0,0.7781874537467957,0.49987900257110596,0.5370937585830688,0.8229014277458191,0.8619784712791443,0.6415378451347351,0.5198917388916016,0.530656635761261,0.3500688374042511,0.5715606808662415,nan,0.2972344160079956,0.008896625600755215,0.8705756068229675,0.7675545811653137,0.3383774757385254,0.7010043859481812,0.20475609600543976,0.8314499855041504,0.5311281085014343,0.38493940234184265,0.7878072261810303,0.8327649831771851,0.8248021006584167,0.9040688276290894,0.8922061324119568,0.6624700427055359,0.0,0.7752882242202759,0.8136836886405945,0.844750702381134,0.705687403678894,0.6811224222183228,0.8441542983055115,0.9739376902580261,0.8904137015342712,0.989398181438446,0.9892686605453491,0.9993947744369507,0.9897404909133911,0.9906677603721619,0.621249258518219,0.7896424531936646,0.8501085042953491,0.9726620316505432,0.9580598473548889,0.9222382307052612,0.9725224375724792,0.9724442362785339,0.9563751220703125,0.9819490313529968,0.9615445137023926,0.7682472467422485,0.9625308513641357,0.9091810584068298,tensor(0.7502),tensor(0.9642)


Datasets,Rank-1,Rank-5,Rank-10,mAP,mINP,New_Rank-1,New_Rank-5,New_Rank-10,New_mAP,New_mINP,diff_0,diff_1_backpack,diff_2_bag,diff_3_clothes,diff_4_down,diff_5_downblack,diff_6_downblue,diff_7_downbrown,diff_8_downgray,diff_9_downgreen,diff_10_downpink,diff_11_downpurple,diff_12_downwhite,diff_13_downyellow,diff_14_gender,diff_15_hair,diff_16_handbag,diff_17_hat,diff_18_up,diff_19_upblack,diff_20_upblue,diff_21_upgray,diff_22_upgreen,diff_23_uppurple,diff_24_upred,diff_25_upwhite,diff_26_upyellow,Ex_Precsion_d,same_0,same_1_backpack,same_2_bag,same_3_clothes,same_4_down,same_5_downblack,same_6_downblue,same_7_downbrown,same_8_downgray,same_9_downgreen,same_10_downpink,same_11_downpurple,same_12_downwhite,same_13_downyellow,same_14_gender,same_15_hair,same_16_handbag,same_17_hat,same_18_up,same_19_upblack,same_20_upblue,same_21_upgray,same_22_upgreen,same_23_uppurple,same_24_upred,same_25_upwhite,same_26_upyellow,Ex_Precsion_s,Ex_mAP_d,Ex_mAP_s
Market1501_Interpretation,0.9474466,0.9812945,0.9872328,0.85803235,0.56484705,0.94714963,0.9804038,0.98812354,0.8638896,0.5802487,0.0,0.779634952545166,0.6449959874153137,0.5091556906700134,0.8198182582855225,0.8146350383758545,0.5337589979171753,0.5232366323471069,0.32052773237228394,0.3445073068141937,0.5531803965568542,nan,0.39900878071784973,0.20366060733795166,0.8876720070838928,0.8533937931060791,0.2772913873195648,0.7128815054893494,0.1411726176738739,0.7307133078575134,0.5597295761108398,0.3482970595359802,0.6154844164848328,0.9448372721672058,0.8867701888084412,0.9282909631729126,0.8460833430290222,0.648817241191864,0.0,0.7814807295799255,0.6689453125,0.8574362397193909,0.6985730528831482,0.7449080348014832,0.8857871890068054,0.9825885891914368,0.9535983204841614,0.9933921098709106,0.9873896837234497,0.9981804490089417,0.9733567833900452,0.9921302795410156,0.5738600492477417,0.6932117938995361,0.891825795173645,0.9655773639678955,0.9734355807304382,0.951850175857544,0.9541343450546265,0.9777036309242249,0.9775345921516418,0.9373642206192017,0.9387855529785156,0.7255507111549377,0.9731065630912781,0.9058940410614014,tensor(0.7379),tensor(0.9612)


Datasets,Rank-1,Rank-5,Rank-10,mAP,mINP,New_Rank-1,New_Rank-5,New_Rank-10,New_mAP,New_mINP,diff_0,diff_1_backpack,diff_2_bag,diff_3_clothes,diff_4_down,diff_5_downblack,diff_6_downblue,diff_7_downbrown,diff_8_downgray,diff_9_downgreen,diff_10_downpink,diff_11_downpurple,diff_12_downwhite,diff_13_downyellow,diff_14_gender,diff_15_hair,diff_16_handbag,diff_17_hat,diff_18_up,diff_19_upblack,diff_20_upblue,diff_21_upgray,diff_22_upgreen,diff_23_uppurple,diff_24_upred,diff_25_upwhite,diff_26_upyellow,Ex_Precsion_d,same_0,same_1_backpack,same_2_bag,same_3_clothes,same_4_down,same_5_downblack,same_6_downblue,same_7_downbrown,same_8_downgray,same_9_downgreen,same_10_downpink,same_11_downpurple,same_12_downwhite,same_13_downyellow,same_14_gender,same_15_hair,same_16_handbag,same_17_hat,same_18_up,same_19_upblack,same_20_upblue,same_21_upgray,same_22_upgreen,same_23_uppurple,same_24_upred,same_25_upwhite,same_26_upyellow,Ex_Precsion_s,Ex_mAP_d,Ex_mAP_s
Market1501_Interpretation,0.9474466,0.9812945,0.9872328,0.85803235,0.56484705,0.9477435,0.9804038,0.99049884,0.8652285,0.5813599,0.0,0.8110440373420715,0.602019190788269,0.5813217759132385,0.8438148498535156,0.8214319348335266,0.6441159844398499,0.5547522306442261,0.4001815617084503,0.3183828592300415,0.42784640192985535,nan,0.18360237777233124,0.11119339615106583,0.9005023837089539,0.8040620684623718,0.3951081335544586,0.7531999945640564,0.19769439101219177,0.7523389458656311,0.42556464672088623,0.41011378169059753,0.6974174976348877,0.8075271248817444,0.7488353252410889,0.919692873954773,0.5386736989021301,0.6520947813987732,0.0,0.76883864402771,0.7270572185516357,0.8301092386245728,0.656261146068573,0.7378222346305847,0.8341679573059082,0.9720717668533325,0.9341593384742737,0.9929826855659485,0.9930895566940308,0.9987699389457703,0.9942583441734314,0.9891617894172668,0.5825377702713013,0.7413385510444641,0.8251737952232361,0.9639466404914856,0.9500487446784973,0.946838915348053,0.9875032901763916,0.9744488000869751,0.969414472579956,0.9751784801483154,0.9787434935569763,0.7561553120613098,0.9827835559844971,0.9066515564918518,tensor(0.7433),tensor(0.9628)


